pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
mouse2_BT_jejunum	0.238036607	-0.185803806	0.010739219	-0.054742008	0.014718568	-0.045160024	0.166292798	0.172333336	0.076756175	0.075813842	-0.0108777	0.015812512	0.080335749	-0.085741906	0.085858831	0.048179703	0.083010656	-0.136584613	-0.082797415	0.107125658	0.06726487	-0.156939717	0.203227409	-0.035086482	0.103844939	0.355377474	-0.164640676	-0.050469186	0.047754108	-0.170122602	0.149442754	0.043311456	0.046688348	0.053691175	-0.164517561	-0.232861682	0.22210187	-0.148016907	-0.104081431	0.000454882	-0.093724303	0.464980683	0.163570787	0.223343988	0.053001569
mouse2_BT_prox colon	0.092169403	0.194402239	-0.226863605	-0.054686635	0.050735301	0.23725148	-0.045587633	0.042491544	0.013715491	-0.021816846	0.039653033	0.113021302	0.131323883	-0.088264397	0.142301645	0.212537633	0.139397764	0.12709022	0.452241468	-0.184696639	0.009821061	0.004983156	0.080044822	-0.019225416	0.27884983	0.166791049	0.059566633	0.143474144	0.442759269	0.05352677	-0.17866167	0.024237027	-0.200950861	0.053929843	-0.050129109	0.075715152	-0.010286672	0.133099021	0.053567301	0.109788344	-0.047906003	0.021910089	-0.018294683	0.020250446	-0.031715487
mouse2_BT_Stomach	0.109922123	0.186208238	-0.263792291	0.096856885	-0.212925737	0.374313714	0.105849538	-0.069070197	0.039131802	-0.022290134	-0.050344706	-0.193582823	0.168670862	-0.12441909	-0.037584066	0.1403964	-0.135834412	0.079310262	-0.028420781	0.368426087	-0.061497663	0.451058598	-0.093977644	-0.147269023	-0.118493073	-0.088736125	0.087301944	0.025868048	-0.11357024	-0.121733248	0.24044012	0.067679239	-0.08137864	-0.017580731	-0.128973754	-0.010217394	0.045925409	0.004816929	-0.050944396	0.055300246	0.048340565	0.049791553	0.070398058	0.070655785	-0.013608142
mouse2_RF_cecum	0.20984505	-0.075797506	0.025473621	-0.021941578	-0.053948998	-0.006825302	-0.158394748	-0.213987176	-0.065165204	0.024765217	-0.009295467	0.019413856	-0.055257236	0.201579102	-0.026715464	-0.035779993	-0.052266087	-0.030850262	0.042966052	-0.169452243	-0.082368308	0.130575349	0.012967135	-0.089979984	0.039794684	-0.231606932	-0.050942757	0.161034861	0.080437465	0.201490615	0.096860682	0.19865734	0.110027889	-0.010118915	-0.018496788	0.084623768	0.244522222	0.096914794	-0.00651495	-0.030095097	0.088882787	0.276780531	-0.087250844	-0.062045699	0.626437582
mouse2_RF_ileum	0.06832392	-0.015231749	0.016420791	0.359732479	0.325297927	0.041738788	-0.346810313	0.031370365	-0.015116837	0.003526434	0.074978876	-0.113797073	-0.093520563	0.017209044	0.5825741	0.126185536	-0.239916527	-0.232714058	0.06180239	0.153539963	-0.300673068	-0.065441811	0.058942186	0.025676827	-0.078963499	-0.003375291	0.013056841	-0.069884035	-0.033247891	-0.027592948	0.003476367	-0.030472055	0.000104084	0.001814386	0.015267079	-0.000521818	-0.006352999	0.023508303	0.00390669	0.001195886	0.012766971	-0.010321261	-0.005838739	0.011840667	-0.010074026
mouse2_RF_jejunum	0.231198625	-0.139206997	0.007705323	-0.039518375	-0.050410677	0.040217138	-0.123363204	-0.174749766	-0.188657359	0.062496022	0.088302005	0.069643525	0.219342568	0.024335964	0.002747712	0.02935417	0.02395955	-0.019662299	-0.048438955	-0.118749918	-0.065891807	0.007791093	-0.167088421	0.035058802	0.000660087	-0.197199203	-0.030677407	0.110136545	-0.00215879	-0.145942153	-0.121542323	-0.185460513	-0.362248882	-0.061299418	0.255899976	-0.164857546	-0.207903327	-0.313780512	-0.126423379	-0.134946646	0.206817475	0.322950037	-0.014157142	-0.129727559	-0.181399581
mouse2_RF_prox colon	0.107502921	0.321826553	0.322154774	0.011863688	0.02281148	0.059804192	-0.007174016	0.076671146	-0.064494271	0.062634386	0.032559623	0.263520099	0.077466582	-0.109776023	-0.08101121	0.054635152	-0.249122768	0.097950569	-0.03219345	-0.014035556	0.074957456	-0.006681091	0.074125631	-0.070958177	-0.13100527	0.19189175	0.083248656	-0.249299019	-0.058229227	-0.09487184	-0.015178186	0.250268301	-0.188476128	-0.014235762	0.245072289	-0.190242504	0.0271029	0.218127134	0.247534568	-0.298967325	0.078214507	0.028394731	-0.158439711	0.057774162	0.10496793
mouse2_RF_Stomach	0.090400172	0.282643113	0.367643837	0.035728144	0.012886863	-0.083058019	-0.013262224	0.050534009	-0.067407381	0.155942095	0.04240418	0.216212336	-0.046348106	-0.123946217	-0.008911731	0.139699118	-0.187437616	0.174973835	0.21603417	0.010541579	0.165219666	0.012530245	0.073675579	-0.055370993	-0.118203752	-0.186887489	-0.007198714	-0.007921088	0.023439878	-0.048189226	-0.016867098	-0.129517727	0.265300293	-0.12435219	-0.074099416	0.2105973	0.131411653	-0.280432771	-0.26088993	0.319724032	0.087705261	0.08192547	0.087756727	-0.016843979	-0.097433541
mouse3_GF_cecum	0.080359153	0.14022244	-0.168098781	-0.049906475	0.068608436	-0.133844832	-0.007589558	0.026440361	-0.050183909	-0.040406317	-0.00411764	-0.063670094	0.046909657	0.003644102	-0.016400383	-0.064470967	-0.320109387	-0.11503513	-0.019734025	-0.071155495	0.306018873	-0.081558394	0.15330718	0.234122613	0.270677882	-0.10662046	0.034186754	0.012696896	-0.300405831	0.177723598	0.04543301	0.032086723	-0.222715508	0.068272567	0.017094115	-0.028807218	-0.189562865	0.231258246	-0.127680145	0.230626889	0.218757363	0.022236527	0.311141677	0.176375031	0.060634056
mouse3_GF_ileum	0.141463342	-0.015249139	0.088624797	-0.004342684	-0.01090579	-0.050217798	0.024415006	-0.039895641	0.167816571	-0.075736416	-0.112054328	-0.092405574	-0.053435767	0.118035732	0.092447496	0.119998216	-0.037135838	0.016431392	0.238211374	-0.19269053	0.223736079	0.182177642	-0.140720327	0.207060494	-0.23771657	0.127370185	0.069854307	0.127513514	0.047416774	-0.021415459	0.294228676	-0.17065891	0.227026557	0.431944928	0.20777604	-0.207638618	-0.133842153	0.100217997	-0.19866063	-0.129854372	-0.058526767	-0.020679255	-0.06870431	0.000327211	-0.0366835
